Zone,Hierarchy Path,Sprite Asset,Sprite Name,Pixel Width,Pixel Height,PPU,Local Scale X,Local Scale Y,World Scale X,World Scale Y,World Width,World Height,Sorting Layer,Order,Enabled
"Zone02","_World/World/Zone02/ResourcesNode/Decors/Fence (1)/fence_top","Assets/Arts/ResourcesNode/Enviroment/fence_top.png","fence_top","48","48","48","1","1","1","1","1","1","Default","9643","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/Fence/Fence_down","Assets/Arts/ResourcesNode/Enviroment/fencedown.png","fencedown","48","48","48","1","1","1","1","1","1","Default","9891","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/Fence/fence_top","Assets/Arts/ResourcesNode/Enviroment/fence_top.png","fence_top","48","48","48","1","1","1","1","1","1","Default","9643","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/Flower_Pink/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/bigstone-sheet (2)","Assets/Arts/ResourcesNode/Enviroment/bigstone-sheet.png","bigstone-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/decor","Assets/Arts/ResourcesNode/Enviroment/decor.png","decor","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/decor_item","Assets/Arts/ResourcesNode/Enviroment/decor_item.png","decor_item","32","32","100","1","1","1","1","0.32","0.32","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/decor_item2","Assets/Arts/ResourcesNode/Enviroment/decor_item2.png","decor_item2","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (3)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (4)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/grass_tilemap00 (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/log-sheet","Assets/Arts/ResourcesNode/Enviroment/log-sheet.png","log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/smallstone-sheet (1)","Assets/Arts/ResourcesNode/Enviroment/smallstone-sheet.png","smallstone-sheet","64","64","72","1","1","1","1","0.889","0.889","Default","3","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/smallstone-sheet (2)","Assets/Arts/ResourcesNode/Enviroment/smallstone-sheet.png","smallstone-sheet","64","64","72","1","1","1","1","0.889","0.889","Default","3","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/solid","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/solid (1)","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/solid (2)","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Decors/solid (3)","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
"Zone02","_World/World/Zone02/ResourcesNode/Harvest/Pumpkins/pumpkin_map","Assets/Arts/ResourcesNode/Harvest/Pumpkin/pumpkin_map.png","pumpkin_map","64","64","64","1","1","1","1","1","1","Default","10","true"
"Zone02","_World/World/Zone02/ResourcesNode/Harvest/Pumpkins/pumpkin_map (1)","Assets/Arts/ResourcesNode/Harvest/Pumpkin/pumpkin_map.png","pumpkin_map","64","64","64","1","1","1","1","1","1","Default","10","true"
"Zone02","_World/World/Zone02/ResourcesNode/Harvest/eggplant_map","Assets/Arts/ResourcesNode/Harvest/EggPlant/eggplant_map.png","eggplant_map","48","48","64","1","1","1","1","0.75","0.75","Default","10","true"
"Zone02","_World/World/Zone02/ResourcesNode/Harvest/eggplant_map (1)","Assets/Arts/ResourcesNode/Harvest/EggPlant/eggplant_map.png","eggplant_map","48","48","64","1","1","1","1","0.75","0.75","Default","10","true"
"Zone02_Fog","_World/World/Zone02/Zone02_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone03","_World/World/Zone03/Decors/Big_Bamboo (2)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone03","_World/World/Zone03/Decors/Small_Bamboo/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/small_bamboo-sheet.png","small_bamboo-sheet_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone03","_World/World/Zone03/Decors/bamboo_leaf","Assets/Arts/ResourcesNode/Enviroment/bamboo/bamboo_leaf.png","bamboo_leaf","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone03","_World/World/Zone03/Decors/bamboo_leaf (1)","Assets/Arts/ResourcesNode/Enviroment/bamboo/bamboo_leaf.png","bamboo_leaf","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone03","_World/World/Zone03/Decors/grass_bamboo (2)","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (10)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (11)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (12)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (13)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (14)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (8)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/grass_tilemap00 (9)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone03","_World/World/Zone03/Decors/simple-stone-japanese-style","Assets/Arts/ResourcesNode/Enviroment/simple-stone-japanese-style.png","simple-stone-japanese-style","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"Zone03","_World/World/Zone03/ResourcesNode/Harvest/Bamboo_Shoot (2)","Assets/Arts/ResourcesNode/Enviroment/bamboo-shoot-map.png","bamboo-shoot-map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone03_Fog","_World/World/Zone03/Zone03_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone04","_World/World/Zone04/Decors/Big_Bamboo (1)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone04","_World/World/Zone04/Decors/Big_Bamboo (3)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone04","_World/World/Zone04/Decors/Big_Bamboo/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone04","_World/World/Zone04/Decors/bamboo_leaf (2)","Assets/Arts/ResourcesNode/Enviroment/bamboo/bamboo_leaf.png","bamboo_leaf","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone04","_World/World/Zone04/Decors/bamboo_leaf (3)","Assets/Arts/ResourcesNode/Enviroment/bamboo/bamboo_leaf.png","bamboo_leaf","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone04","_World/World/Zone04/Decors/bamboo_leaf (4)","Assets/Arts/ResourcesNode/Enviroment/bamboo/bamboo_leaf.png","bamboo_leaf","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone04","_World/World/Zone04/Decors/grass_bamboo","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone04","_World/World/Zone04/Decors/grass_bamboo (1)","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (14)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (15)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (16)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (17)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (18)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (19)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (20)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (21)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (22)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/grass_tilemap00 (23)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone04","_World/World/Zone04/Decors/threerock 1","Assets/Arts/ResourcesNode/Enviroment/bamboo/threerock.png","threerock","64","64","100","1","1","1","1","0.64","0.64","Default","0","true"
"Zone04","_World/World/Zone04/ResourcesNode/Harvest/mushroom_map","Assets/Arts/ResourcesNode/Harvest/Mushroom/mushroom_map.png","mushroom_map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone04_Fog","_World/World/Zone04/Zone04_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone05","_World/World/Zone05/Decors/Big_Bamboo (1)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone05","_World/World/Zone05/Decors/Big_Bamboo (3)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone05","_World/World/Zone05/Decors/Big_Bamboo/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone05","_World/World/Zone05/Decors/grass_bamboo","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone05","_World/World/Zone05/Decors/grass_bamboo (1)","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone05","_World/World/Zone05/ResourcesNode/Harvest/mushroom_map","Assets/Arts/ResourcesNode/Harvest/Mushroom/mushroom_map.png","mushroom_map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone05_Fog","_World/World/Zone05/Zone05_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone06","_World/World/Zone06/Decors/Big_Bamboo (3)/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone06","_World/World/Zone06/Decors/Big_Bamboo/Bamboo_Visual","Assets/Arts/ResourcesNode/Enviroment/bigBamboo.png","bigBamboo_0","64","64","32","1","1","1","1","2","2","Default","0","true"
"Zone06","_World/World/Zone06/Decors/grass_bamboo","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone06","_World/World/Zone06/Decors/grass_bamboo (1)","Assets/Arts/ResourcesNode/Enviroment/grass_bamboo.png","grass_bamboo","64","64","64","1","1","1","1","1","1","Default","2","true"
"Zone06","_World/World/Zone06/Decors/simple-stone-japanese-style (1)","Assets/Arts/ResourcesNode/Enviroment/simple-stone-japanese-style.png","simple-stone-japanese-style","64","64","48","1","1","1","1","1.333","1.333","Default","0","true"
"Zone06","_World/World/Zone06/ResourcesNode/Harvest/Bamboo_Shoot (3)","Assets/Arts/ResourcesNode/Enviroment/bamboo-shoot-map.png","bamboo-shoot-map","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone06_Fog","_World/World/Zone06/Zone06_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/BeeHome_Map","Assets/Arts/ResourcesNode/Enviroment/bee/beehome.png","beehome","64","64","100","1","1","1","1","0.64","0.64","Default","10309","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/BeeHome_Map/ReadyBubble","Assets/Arts/UI/Bubble_32x28.png","Bubble_32x28","32","28","64","1.478","1.48","1.478","1.48","0.739","0.648","Default","10","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/BeeHome_Map/ReadyBubble/Icon","Assets/Arts/UI/Apple.png","Apple","16","16","16","1","1","1.478","1.48","1.478","1.48","Default","10","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (19)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (20)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (21)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (22)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (23)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_Pink (24)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_pink-sheet.png","flower_pink-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (12)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (13)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (14)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (15)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (16)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/Flower_White (17)/Flower_Visual","Assets/Arts/ResourcesNode/Enviroment/flower_White-sheet.png","flower_White-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/fallen_log-sheet","Assets/Arts/ResourcesNode/Enviroment/fallen_log-sheet.png","fallen_log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/fallen_log-sheet (1)","Assets/Arts/ResourcesNode/Enviroment/fallen_log-sheet.png","fallen_log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (3)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (4)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/grass_tilemap00 (8)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (1)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (2)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (3)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (4)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (5)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07","_World/World/Zone07/ResourcesNode/Decors/yellow_flower-sheet_0 (6)","Assets/Arts/ResourcesNode/Enviroment/yellow_flower-sheet.png","yellow_flower-sheet_0","64","64","118","1","1","1","1","0.542","0.542","Default","0","true"
"Zone07_Fog","_World/World/Zone07/Zone07_Fog/Button_Unlock","Assets/Arts/UI/padlock_lock.png","padlock_lock","48","48","32","1","1","1","1","1.5","1.5","Default","3","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/bigstone-sheet (2)","Assets/Arts/ResourcesNode/Enviroment/bigstone-sheet.png","bigstone-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/fallen_log-sheet (1)","Assets/Arts/ResourcesNode/Enviroment/fallen_log-sheet.png","fallen_log-sheet","64","64","64","1","1","1","1","1","1","Default","0","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (1)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (2)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (3)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (4)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (5)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (6)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (7)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/grass_tilemap00 (8)","Assets/Arts/ResourcesNode/Enviroment/grass_tilemap00.png","grass_tilemap00","16","16","32","1","1","1","1","0.5","0.5","Default","6","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/smallstone-sheet (2)","Assets/Arts/ResourcesNode/Enviroment/smallstone-sheet.png","smallstone-sheet","64","64","72","1","1","1","1","0.889","0.889","Default","3","true"
"Zone08","_World/World/Zone08/ResourcesNode/Decors/solid (2)","Assets/Arts/ResourcesNode/Enviroment/solid.png","solid","64","64","88","1","1","1","1","0.727","0.727","Default","0","true"
